Name,Year,Durasi(Menit),Rating,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World
The Shawshank Redemption,1994,142,R,6000000,136381073,302393,1972-03-19 00:00:00,250342030
The Godfather,1972,175,R,185000000,534987076,158411483,2008-07-20 00:00:00,1008497140
The Dark Knight,2008,152,PG-13,13000000,47834595,171417,2019-11-10 00:00:00,47962897
Angry Men,1957,96,Approved,22000000,96898818,656636,1993-12-19 00:00:00,322161245
Schindler's List,1993,195,R,94000000,379427292,72629713,2003-12-21 00:00:00,1149002839
The Lord of the Rings: The Return of the King,2003,201,PG-13,8000000,107928762,9311882,1994-10-16 00:00:00,213928762
Pulp Fiction,1994,154,R,93000000,318572165,47211490,2001-12-23 00:00:00,886498443
The Good the Bad and the Ugly,1966,178,R,55000000,330455270,24450602,1994-07-10 00:00:00,678226465
Forrest Gump,1994,142,PG-13,94000000,344859641,62007528,2002-12-22 00:00:00,950852619
The Lord of the Rings: The Two Towers,2002,179,PG-13,63000000,37030102,11035485,1999-10-17 00:00:00,101320107
Fight Club,1999,139,R,160000000,292587330,62785337,2010-07-18 00:00:00,839030630
Inception,2010,148,PG-13,18000000,292753960,4910483,1980-05-25 00:00:00,538375067
Star Wars: Episode V - The Empire Strikes Back,1980,124,PG,63000000,172076928,27788331,1999-04-04 00:00:00,467625567
The Matrix,1999,136,R,25000000,46909721,6368901,1990-09-23 00:00:00,47049784
One Flew Over the Cuckoo's Nest,1975,133,R,33000000,100125643,13949807,1995-09-24 00:00:00,327333559
Se7en,1995,127,R,165000000,188020017,47510360,2014-11-09 00:00:00,747516808
Interstellar,2014,169,PG-13,3180000,1483643,44000,2020-12-20 00:00:00,9767242
